Date,Time,Value date,Product,ISIN,Description,FX,Change,,Balance,,Order Id
01-08-2025,10:03,01-08-2025,NUEVA EXPRESION TEXTIL SA,ES0126962069,"Compra 700 Nueva Expresion Textil SA@0,4705 EUR (ES0126962069)",,EUR,"-329,35",EUR,"1167,92",476485af-15c1-4a1b-a162-b51e896d62da
01-08-2025,09:55,01-08-2025,AMPER SA,ES0109260531,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"1497,27",f957e793-f30f-4d23-a4d6-c196a05c0774
01-08-2025,09:55,01-08-2025,AMPER SA,ES0109260531,"Compra 2.250 Amper SA@0,144 EUR (ES0109260531)",,EUR,"-324,00",EUR,"1499,27",f957e793-f30f-4d23-a4d6-c196a05c0774
01-08-2025,09:01,01-08-2025,,,flatex Deposit,,EUR,"1750,00",EUR,"1823,27",
08-07-2025,16:20,08-07-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 19.879,14 EUR",,,,EUR,"73,27",
08-07-2025,16:20,08-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"19879,14",EUR,"19952,41",
08-07-2025,15:22,08-07-2025,ISHARES S&P 500 INFO TECHNOLG SCTR,IE00B3WJKG14,Costes de transacción y/o externos de DEGIRO,,EUR,"-1,00",EUR,"73,27",9dad6eab-982f-42e5-8020-fedf8324a6f9
08-07-2025,15:22,08-07-2025,ISHARES S&P 500 INFO TECHNOLG SCTR,IE00B3WJKG14,"Compra 158 iShares S&P 500 Info Technolg Sctr UCITS ETF USD A@31,43 EUR (IE00B3WJKG14)",,EUR,"-4965,94",EUR,"74,27",9dad6eab-982f-42e5-8020-fedf8324a6f9
08-07-2025,15:16,08-07-2025,VANGUARD FTSE ALL-WORLD UCITS - (USD),IE00BK5BQT80,Costes de transacción y/o externos de DEGIRO,,EUR,"-1,00",EUR,"5040,21",d63b0ba1-5caa-41d3-8c60-8477c4402215
08-07-2025,15:16,08-07-2025,VANGUARD FTSE ALL-WORLD UCITS - (USD),IE00BK5BQT80,"Compra 114 Vanguard FTSE All-World UCITS - (USD) Accumulating ETF@130,8 EUR (IE00BK5BQT80)",,EUR,"-14911,20",EUR,"5041,21",d63b0ba1-5caa-41d3-8c60-8477c4402215
08-07-2025,14:50,08-07-2025,,,flatex Deposit,,EUR,"15000,00",EUR,"19952,41",
07-07-2025,16:20,07-07-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 15.047,6 EUR",,,,EUR,"4952,41",
07-07-2025,16:20,07-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"15047,60",EUR,"20000,01",
07-07-2025,15:08,07-07-2025,VANGUARD FTSE ALL-WORLD UCITS - (USD),IE00BK5BQT80,Costes de transacción y/o externos de DEGIRO,,EUR,"-1,00",EUR,"4952,41",4832c17b-21e9-4257-876f-525f6e4f54b2
07-07-2025,15:08,07-07-2025,VANGUARD FTSE ALL-WORLD UCITS - (USD),IE00BK5BQT80,"Compra 115 Vanguard FTSE All-World UCITS - (USD) Accumulating ETF@130,84 EUR (IE00BK5BQT80)",,EUR,"-15046,60",EUR,"4953,41",4832c17b-21e9-4257-876f-525f6e4f54b2
07-07-2025,14:50,07-07-2025,,,flatex Deposit,,EUR,"20000,00",EUR,"20000,01",
05-07-2025,12:21,30-06-2025,,,Flatex Interest Income,,EUR,"0,00",EUR,"0,01",
05-07-2025,00:51,04-07-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,,,EUR,"0,01",
05-07-2025,00:51,04-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,01",EUR,"0,00",
04-07-2025,23:37,04-07-2025,,,Ingreso,,EUR,"0,01",EUR,"0,01",
